id,sim,Motor,Property,Liability,Marine,Aviation
10000000,1,0.0,81987277.41246481,0.0,7038996.225377912,1553889.8944915195
10000001,1,0.0,21398360.250247713,0.0,1837150.6139057456,405559.2135871281
10000002,1,0.0,92996287.55688092,0.0,7984171.907476006,1762541.6530528057
10000003,1,0.0,10311886.914976602,0.0,885324.3498485631,195439.3093175864
10000004,1,0.0,5328803.647461338,0.0,457503.04125305323,100995.84226784958
10000005,1,0.0,73850321.457559,0.0,6340400.0033750525,1399671.6544267698
10000006,2,0.0,11269193.852183945,0.0,1676967.4773108086,1599257.6525516766
10000007,2,0.0,3041365.22485467,0.0,452585.2191030448,431612.64894833305
10000008,2,0.0,267246550.27534303,0.0,39768929.26980797,37926057.20089288
10000009,3,0.0,100313329.21055837,0.0,26383947.192943174,4383380.259924139
10000010,4,0.0,13696267.642160702,0.0,8112449.44186429,1921804.5185849979
10000011,5,6669361.13650548,43637782.09509358,0.0,4756275.719496954,0.0
10000012,6,0.0,11241077.63329071,0.0,0.0,489995.3143068727
10000013,7,0.0,22721446.646584008,0.0,4844613.64290607,1580924.1663805488
10000014,7,0.0,32815134.58668514,0.0,6996766.1472098455,2283227.8286699764
10000015,7,0.0,47380964.13113046,0.0,10102458.211138053,3296696.393782462
10000016,7,0.0,61087111.62420614,0.0,13024850.881352125,4250349.57162874
10000017,7,0.0,6954576.460138495,0.0,1482838.5059930028,483888.9954406666
10000018,8,0.0,96511968.00538814,0.0,0.0,8103641.472464736
10000019,8,0.0,4775620.808085277,0.0,0.0,400985.6978049069
10000020,8,0.0,5324177.197948533,0.0,0.0,447045.31510162633
10000021,8,0.0,5765254.664403974,0.0,0.0,484080.448915688
10000022,8,0.0,67512586.52802202,0.0,0.0,5668704.176370122
10000023,9,0.0,1905654.2356324058,0.0,1892673.068694257,0.0
10000024,11,0.0,4164632.7461679005,0.0,167305.4665503708,1986431.79924299
10000025,13,0.0,241240.0953066608,0.0,29696.934828558955,89208.10243167165
10000026,13,0.0,1385161.328652949,0.0,170514.96208271888,512218.39194593823
10000027,13,0.0,7639772.357847194,0.0,940464.815882329,2825109.1270177774
10000028,13,0.0,8038218.702348305,0.0,989514.0218623116,2972450.4811512874
10000029,14,0.0,107342359.64627892,11909553.226672605,4461871.6072530635,2081397.8687640324
10000030,14,0.0,22916798.077467237,2542601.330806181,952576.513204564,444363.01600334246
10000031,15,0.0,11376497.492214726,0.0,3911271.6327436017,918467.2651829403
10000032,15,0.0,13613201.494651927,0.0,4680256.719899245,1099044.7592269618
10000033,16,0.0,101304340.11462289,0.0,5869405.780391155,1053594.8306564812
10000034,16,0.0,56258400.893254615,0.0,3259518.6250146446,585103.8592726305
10000035,16,0.0,12913615.830137903,0.0,748193.5257008933,134305.3897623984
10000036,16,0.0,13417294.123311244,0.0,777375.8122847079,139543.79164528783
10000037,16,0.0,35170596.93847427,0.0,2037726.169845421,365784.517065625
10000038,16,0.0,34831535.60569364,0.0,2018081.5174615448,362258.1798219396
10000039,18,0.0,20704204.740573417,0.0,3146117.0315322764,1663326.4557776288
10000040,18,0.0,19448516.081140965,0.0,2955308.279047299,1562447.4220922182
10000041,19,0.0,12581411.52525266,0.0,5056050.503712629,4642146.107469604
10000042,19,0.0,741215.4428946231,0.0,297869.81420049205,273485.2425837438
10000043,19,0.0,488009.89442786766,0.0,196114.93254046605,180060.3395952812
10000044,20,0.0,29530266.619670242,0.0,3522756.3059527967,4252413.545934516
10000045,20,0.0,33194344.95773601,0.0,3959855.4773611706,4780047.6698938785
10000046,21,0.0,17568326.146791797,0.0,8469990.502263991,1485275.2722906563
10000047,21,0.0,17369860.92549852,0.0,8374307.024775116,1468496.4691688558
10000048,21,0.0,71158116.38940908,0.0,34306544.911642194,6015905.545746601
10000049,22,0.0,0.0,0.0,228208.52611282555,27879.208357165982
10000050,23,0.0,373939.7339586902,0.0,948774.8200537064,566665.2755804826
10000051,23,0.0,3205016.3021695944,0.0,8131895.300797533,4856856.014957502
10000052,24,0.0,35602331.473147266,2429408.7803720473,0.0,2988324.007098028
10000053,24,0.0,58007941.966154575,3958308.282427501,0.0,4868965.553858572
10000054,24,0.0,68541949.48673362,4677121.048448231,0.0,5753149.99521855
10000055,25,0.0,10028618.240071936,0.0,2831185.445516415,1205314.8027210445
10000056,25,0.0,14620148.022207543,0.0,4127423.0707452563,1757159.4019529806
10000057,26,0.0,62745308.20898714,0.0,784805.3422935953,773477.6015559189
10000058,27,0.0,358368.675954773,0.0,1641493.465002472,505289.4964957723
10000059,27,0.0,49299.81405084285,0.0,225815.8372092447,69511.31583338878
10000060,28,0.0,2461213.2437160155,0.0,819192.1407464187,553688.8547770907
10000061,29,0.0,24859220.65373531,1579098.3127541926,2529698.1187244514,3129321.8874393003
10000062,30,0.0,2239403.517636121,103972.31252310883,838297.2672627333,341826.7919630787
10000063,30,0.0,66388260.448612384,3082312.2804213893,24851750.42108753,10133629.743117128
10000064,30,0.0,1272817.6203383375,59095.10740897245,476465.95374637586,194285.2909213971
10000065,30,0.0,1382121.6558785348,64169.93794028227,517382.7753787981,210969.6658109944
10000066,30,0.0,3335771.824876082,154875.1298952603,1248711.2675242394,509178.5257271778
10000067,32,0.0,5494915.4287372045,191007.97047699502,0.0,1739124.3203984748
10000068,32,0.0,20373655.493500162,708205.7290015953,0.0,6448201.109495306
10000069,33,0.0,8986853.303225337,0.0,315143.10117854824,400721.66552646103
10000070,33,0.0,6981878.862156881,0.0,244834.41338509443,311320.32890126127
10000071,35,64831.01170288744,759646.2859608901,0.0,217568.5288372138,29688.77203873939
10000072,35,178746.83421216614,2094435.4433156478,0.0,599862.3919687849,81855.4866595579
10000073,35,5904088.848425135,69180150.79332025,0.0,19813726.350021552,2703723.7783773527
10000074,35,2687394.2815708304,31489082.636310197,0.0,9018715.039130967,1230667.7639000153
10000075,35,159167.5567260341,1865018.6097129188,0.0,534155.649370418,72889.33464834212
10000076,36,0.0,22086077.988688417,1194877.689589086,1772376.1634202164,483654.87974783994
10000077,36,0.0,40486791.50816656,2190373.678881768,3249007.1002732976,886605.3216097072
10000078,37,0.0,61844719.99049207,0.0,20052968.45126683,4348050.056790252
10000079,37,0.0,29218807.82951101,0.0,9474112.449355282,2054255.2227899248
10000080,39,0.0,7707992.980696901,0.0,4079907.151064776,0.0
10000081,39,0.0,15045049.568566991,0.0,7963474.470804556,0.0
